Name	Radius	Mass	T_eff (Host Star)	Transit Duration
HAT-P-8 b	14.49575122	405.3312102	6200	11447.4475379
HAT-P-9 b	15.36264323	212.9975771	6350	10848.4357199
HATS-1 b	14.2872582	589.7171724	5870	8913.05720371
HATS-10 b	10.63314378	167.2189934	5880	9026.0456876
HATS-13 b	13.29965971	172.6234095	5523	7367.94640502
HATS-14 b	11.41224925	340.1603097	5408	7462.43135207
HATS-15 b	12.12551483	689.8578243	5311	6579.50928779
HATS-16 b	14.26531157	1039.555339	5738	9836.85785632
HATS-17 b	8.526266991	425.3593405	5846	15008.133435
HATS-2 b	12.81683378	427.5846884	5227	5813.62252304
HATS-3 b	18.62171825	361.7779742	6351	13639.3486498
HATS-4 b	11.19278292	420.5907381	5403	7116.60942135
HATS-5 b	10.00766473	75.34391906	5304	8476.73814589
HATS-6 b	10.95136996	101.4122792	3724	5792.20483237
HATS-7 b	6.177977241	38.14881978	4985	7165.3341368
HATS-8 b	9.579705384	43.87114275	5679	9234.01985437
HATS-9 b	11.68658217	266.088018	5366	10457.3906864
HD 149026 b	7.878841312	113.174832	6147	11036.4345854
HD 17156 b	12.01578167	1014.440699	6079	21783.0708322
HD 189733 A b	12.48763428	361.7779742	4980	6263.99511832
HD 209458 b	15.1431769	226.9854777	6075	9424.18876976
HD 219134 b	1.572476267	3.814881978	4699	6926.30092574
HD 80606 b	10.10642458	1252.552916	5370	26807.6022896
HD 97658 b	2.340004896	7.55186947	5119	9684.5300968
HIP 116454 b	2.530007873	11.82041181	5089	9214.72991537
KELT-10 b	15.35166991	215.8587386	5948	10624.4144715
KELT-15 b	15.83449584	289.2952167	6003	11837.4858692
KELT-2A b	14.1555784	484.4900112	6148	15196.8034588
KELT-3 b	14.90176393	464.7797876	6304	10752.7373094
KELT-4A b	18.64366489	286.751962	6206	12345.6188604
KELT-6 b	12.94851358	140.5148195	6272	16523.4355332
KELT-7 b	16.82209433	406.9207443	6789	11879.9942194
KELT-8 b	20.41036886	275.6252229	5754	13122.8648443
Kepler-10 b	1.470007437	3.33007406	5643	5861.28826729
Kepler-10 c	2.350001588	17.20066702	5643	22165.6737882
Kepler-100 c	2.200007323	7.057531659	5825	19229.0867963
Kepler-100 b	1.320002199	7.343647808	5825	15633.397423
Kepler-100 d	1.61000501	2.988324216	5825	26963.0822964
Kepler-101 b	5.651258044	51.18299987	5667	12702.9769792
Kepler-101 c	1.229011458	3.783091295	5667	15246.140807
Kepler-102 e	2.220000706	8.930320804	4903	11399.4690413
Kepler-102 d	1.180004626	3.800258264	4903	9816.93134465
Kepler-102 f	0.880005124	5.20031995	4903	13606.0511031
Kepler-102 c	0.580005622	3.000086769	4903	8657.00911384
